transaction_id,sender_account,receiver_account,amount,currency,timestamp,transaction_type,location,device_type,is_fraud
TXN_00000,ACC_039,ACC_037,2545.98,USD,2025-01-01T00:00:00,withdrawal,Mumbai,desktop,False
TXN_00001,ACC_029,ACC_036,89.22,GBP,2025-01-01T01:00:00,withdrawal,Tokyo,ATM,False
TXN_00002,ACC_015,ACC_024,97.11,USD,2025-01-01T02:00:00,deposit,Mumbai,desktop,False
TXN_00003,ACC_043,ACC_031,13.04,EUR,2025-01-01T03:00:00,purchase,New York,ATM,False
TXN_00004,ACC_008,ACC_006,294.55,USD,2025-01-01T04:00:00,withdrawal,London,mobile,False
TXN_00005,ACC_021,ACC_002,232.83,EUR,2025-01-01T05:00:00,purchase,London,desktop,False
TXN_00006,ACC_039,ACC_020,75.52,EUR,2025-01-01T06:00:00,withdrawal,Tokyo,desktop,True
TXN_00007,ACC_019,ACC_028,134.53,INR,2025-01-01T07:00:00,transfer,London,mobile,False
TXN_00008,ACC_023,ACC_011,30.77,EUR,2025-01-01T08:00:00,withdrawal,Tokyo,ATM,False
TXN_00009,ACC_011,ACC_004,625.24,EUR,2025-01-01T09:00:00,deposit,New York,POS,False
TXN_00010,ACC_011,ACC_015,82.46,USD,2025-01-01T10:00:00,deposit,London,mobile,False
TXN_00011,ACC_024,ACC_006,6080.6,GBP,2025-01-01T11:00:00,purchase,Tokyo,POS,False
TXN_00012,ACC_036,ACC_049,120.21,INR,2025-01-01T12:00:00,withdrawal,Mumbai,POS,False
TXN_00013,ACC_040,ACC_030,59.65,EUR,2025-01-01T13:00:00,purchase,Tokyo,mobile,False
TXN_00014,ACC_024,ACC_038,90.49,INR,2025-01-01T14:00:00,purchase,London,ATM,False
TXN_00015,ACC_003,ACC_002,27.27,USD,2025-01-01T15:00:00,transfer,New York,POS,False
TXN_00016,ACC_022,ACC_015,264.73,EUR,2025-01-01T16:00:00,transfer,London,mobile,False
TXN_00017,ACC_002,ACC_011,89.67,USD,2025-01-01T17:00:00,deposit,London,desktop,False
TXN_00018,ACC_024,ACC_008,576.8,INR,2025-01-01T18:00:00,purchase,Tokyo,desktop,False
TXN_00019,ACC_044,ACC_026,106.73,USD,2025-01-01T19:00:00,deposit,Mumbai,desktop,False
TXN_00020,ACC_030,ACC_045,781.59,INR,2025-01-01T20:00:00,withdrawal,London,mobile,False
TXN_00021,ACC_038,ACC_044,368.32,USD,2025-01-01T21:00:00,purchase,Mumbai,desktop,False
TXN_00022,ACC_002,ACC_005,153.59,INR,2025-01-01T22:00:00,purchase,Tokyo,POS,False
TXN_00023,ACC_021,ACC_006,988.59,GBP,2025-01-01T23:00:00,withdrawal,Mumbai,desktop,False
TXN_00024,ACC_033,ACC_026,465.33,USD,2025-01-02T00:00:00,withdrawal,Tokyo,desktop,False
TXN_00025,ACC_012,ACC_004,5092.15,USD,2025-01-02T01:00:00,deposit,New York,POS,False
TXN_00026,ACC_022,ACC_019,90.8,GBP,2025-01-02T02:00:00,deposit,Mumbai,desktop,False
TXN_00027,ACC_044,ACC_020,162.71,GBP,2025-01-02T03:00:00,withdrawal,Mumbai,POS,False
TXN_00028,ACC_025,ACC_033,975.01,USD,2025-01-02T04:00:00,deposit,New York,desktop,False
TXN_00029,ACC_049,ACC_020,23.28,GBP,2025-01-02T05:00:00,withdrawal,Mumbai,POS,False
TXN_00030,ACC_027,ACC_049,720.78,EUR,2025-01-02T06:00:00,purchase,New York,desktop,True
TXN_00031,ACC_042,ACC_012,251.43,INR,2025-01-02T07:00:00,purchase,London,POS,False
TXN_00032,ACC_028,ACC_047,51.12,INR,2025-01-02T08:00:00,transfer,Tokyo,mobile,False
TXN_00033,ACC_016,ACC_001,28.91,INR,2025-01-02T09:00:00,purchase,New York,POS,False
TXN_00034,ACC_015,ACC_026,66.22,EUR,2025-01-02T10:00:00,withdrawal,Mumbai,desktop,False
TXN_00035,ACC_047,ACC_014,9.57,GBP,2025-01-02T11:00:00,deposit,New York,desktop,False
TXN_00036,ACC_044,ACC_038,82.48,GBP,2025-01-02T12:00:00,transfer,Mumbai,ATM,False
TXN_00037,ACC_003,ACC_037,313.27,USD,2025-01-02T13:00:00,deposit,London,POS,False
TXN_00038,ACC_037,ACC_011,83.8,GBP,2025-01-02T14:00:00,withdrawal,New York,mobile,False
TXN_00039,ACC_007,ACC_036,785.23,USD,2025-01-02T15:00:00,purchase,London,POS,False
TXN_00040,ACC_021,ACC_013,1087.83,EUR,2025-01-02T16:00:00,transfer,Tokyo,POS,False
TXN_00041,ACC_009,ACC_043,685.93,INR,2025-01-02T17:00:00,withdrawal,Mumbai,mobile,False
TXN_00042,ACC_039,ACC_003,195.74,INR,2025-01-02T18:00:00,transfer,Mumbai,POS,False
TXN_00043,ACC_018,ACC_033,9.12,INR,2025-01-02T19:00:00,transfer,London,mobile,False
TXN_00044,ACC_004,ACC_006,63.79,GBP,2025-01-02T20:00:00,purchase,Tokyo,mobile,False
TXN_00045,ACC_025,ACC_010,125.16,USD,2025-01-02T21:00:00,withdrawal,New York,POS,False
TXN_00046,ACC_014,ACC_005,50.77,USD,2025-01-02T22:00:00,deposit,New York,POS,False
TXN_00047,ACC_009,ACC_023,125.54,EUR,2025-01-02T23:00:00,transfer,Mumbai,desktop,False
TXN_00048,ACC_026,ACC_010,1024.62,GBP,2025-01-03T00:00:00,transfer,London,desktop,False
TXN_00049,ACC_002,ACC_044,20.6,EUR,2025-01-03T01:00:00,deposit,London,ATM,False
TXN_00050,ACC_020,ACC_002,1305.09,USD,2025-01-03T02:00:00,withdrawal,New York,ATM,False
TXN_00051,ACC_028,ACC_013,429.09,USD,2025-01-03T03:00:00,transfer,Tokyo,POS,False
TXN_00052,ACC_047,ACC_040,204.76,INR,2025-01-03T04:00:00,transfer,Tokyo,mobile,False
TXN_00053,ACC_007,ACC_002,63.03,GBP,2025-01-03T05:00:00,transfer,New York,ATM,False
TXN_00054,ACC_044,ACC_020,52.0,USD,2025-01-03T06:00:00,withdrawal,New York,POS,False
TXN_00055,ACC_008,ACC_001,21.08,INR,2025-01-03T07:00:00,withdrawal,London,ATM,False
TXN_00056,ACC_047,ACC_037,1164.58,GBP,2025-01-03T08:00:00,deposit,Tokyo,mobile,False
TXN_00057,ACC_035,ACC_009,939.3,EUR,2025-01-03T09:00:00,withdrawal,New York,POS,False
TXN_00058,ACC_014,ACC_017,27.45,GBP,2025-01-03T10:00:00,withdrawal,New York,mobile,False
TXN_00059,ACC_017,ACC_009,76.47,GBP,2025-01-03T11:00:00,purchase,Mumbai,POS,False
TXN_00060,ACC_036,ACC_011,249.58,USD,2025-01-03T12:00:00,deposit,New York,ATM,False
TXN_00061,ACC_040,ACC_015,103.61,USD,2025-01-03T13:00:00,transfer,New York,desktop,False
TXN_00062,ACC_004,ACC_024,14.84,GBP,2025-01-03T14:00:00,withdrawal,Tokyo,ATM,False
TXN_00063,ACC_002,ACC_038,67.4,USD,2025-01-03T15:00:00,transfer,London,ATM,False
TXN_00064,ACC_006,ACC_035,1542.63,USD,2025-01-03T16:00:00,transfer,Tokyo,desktop,False
TXN_00065,ACC_042,ACC_030,73.11,USD,2025-01-03T17:00:00,purchase,London,desktop,False
TXN_00066,ACC_004,ACC_031,121.98,INR,2025-01-03T18:00:00,withdrawal,Mumbai,POS,False
TXN_00067,ACC_029,ACC_049,37.55,INR,2025-01-03T19:00:00,deposit,New York,POS,False
TXN_00068,ACC_018,ACC_005,300.46,GBP,2025-01-03T20:00:00,withdrawal,Mumbai,mobile,False
TXN_00069,ACC_026,ACC_044,170.41,USD,2025-01-03T21:00:00,transfer,London,mobile,False
TXN_00070,ACC_044,ACC_014,60.92,INR,2025-01-03T22:00:00,deposit,Tokyo,ATM,False
TXN_00071,ACC_034,ACC_011,31.01,GBP,2025-01-03T23:00:00,withdrawal,Tokyo,desktop,False
TXN_00072,ACC_010,ACC_009,800.67,USD,2025-01-04T00:00:00,transfer,Mumbai,mobile,False
TXN_00073,ACC_036,ACC_034,21.61,EUR,2025-01-04T01:00:00,transfer,London,ATM,False
TXN_00074,ACC_014,ACC_012,271.67,USD,2025-01-04T02:00:00,purchase,Mumbai,desktop,False
