transaction_id,sender_account,receiver_account,amount,currency,timestamp,transaction_type,location,device_type,is_fraud
TXN-3380BBD8B22D,ACC-8AF9DC5C0FE7,ACC-2B7BFBB16536,3770.53,INR,2025-03-07T07:16:54.054526,transfer,New York,tablet,False
TXN-4B323F09AC63,ACC-4AAE3C03A071,ACC-F309CE63FCE0,3513.52,USD,2025-03-07T11:51:37.831264,deposit,Singapore,tablet,False
TXN-4DD5B5C03D2B,ACC-E59A8564DFC5,ACC-632FFDB19905,3587.62,JPY,2025-03-07T12:16:50.029532,payment,Toronto,desktop,False
TXN-7C8022CD5D7F,ACC-8E4822B1FAE9,ACC-6C5C0C457317,3887.98,GBP,2025-03-07T12:56:18.183761,withdrawal,Tokyo,tablet,False
TXN-BA8A8DCBE528,ACC-05BF1678A31D,ACC-6C5C0C457317,4864.46,EUR,2025-03-08T00:50:36.983853,withdrawal,London,tablet,False
TXN-8588092F9691,ACC-3EA02A68DA4E,ACC-E9B13827F65F,3192.23,JPY,2025-03-08T01:49:26.528613,transfer,Paris,desktop,False
TXN-5ADEB4A86F55,ACC-5B3C2AEF2119,ACC-285DE37969A1,3822.85,CAD,2025-03-08T16:17:09.279028,deposit,Toronto,desktop,False
TXN-C7518E3D5F7F,ACC-E82D1A8731BA,ACC-741D1797B788,2771.61,AUD,2025-03-08T17:56:27.178999,purchase,São Paulo,desktop,False
TXN-EA850FC7C554,ACC-F607530466D1,ACC-5E35F21CE1F5,2888.28,CAD,2025-03-10T07:27:15.885049,deposit,Dubai,tablet,False
TXN-90E4B7159A86,ACC-ECC3A1E404E3,ACC-538F9296296B,3059.44,USD,2025-03-10T09:12:52.601175,purchase,San Francisco,tablet,False
TXN-4852A00EFB60,ACC-42387D2273F7,ACC-0B049C4AA06A,4505.76,GBP,2025-03-10T09:34:43.967693,purchase,Chicago,tablet,False
TXN-7BC9F18DDF12,ACC-E82D1A8731BA,ACC-07E5FBD728ED,4269.2,JPY,2025-03-10T15:35:01.727075,refund,Tokyo,desktop,False
TXN-E700A7F5AFD0,ACC-81AA8C235E4E,ACC-48FAA251374A,3816.84,GBP,2025-03-11T11:03:41.587301,transfer,New York,tablet,False
TXN-337661AF9E6F,ACC-3C4F44A5F289,ACC-4B41B3B95D4F,4214.78,USD,2025-03-11T17:40:39.399623,refund,Tokyo,tablet,False
TXN-8B5D70700C51,ACC-DFCE37A8F9EA,ACC-E59A8564DFC5,3464.66,USD,2025-03-12T15:48:35.131429,deposit,Mumbai,desktop,False
TXN-48A916EA9578,ACC-F3AB53608CB1,ACC-F15DA3579319,2945.05,USD,2025-03-13T04:26:53.751572,withdrawal,Mumbai,desktop,False
TXN-79FCD4BB81F4,ACC-48FAA251374A,ACC-B60A9F652C2B,3863.83,JPY,2025-03-14T03:37:39.033486,purchase,Toronto,tablet,False
TXN-6767889C77B5,ACC-E59A8564DFC5,ACC-7FDF59CA276D,2749.34,JPY,2025-03-16T01:26:15.856225,payment,Berlin,desktop,False
TXN-5BB3CD59132C,ACC-E42D0E7822B9,ACC-E7AB38C3F643,3793.79,EUR,2025-03-16T02:59:41.001908,purchase,Dubai,desktop,False
TXN-18FD6127A433,ACC-44438327538C,ACC-632FFDB19905,3297.54,EUR,2025-03-17T22:36:50.974197,purchase,Sydney,desktop,False
TXN-C896E4989EEB,ACC-E3EFD169DFCE,ACC-24E18596688E,2906.93,INR,2025-03-17T23:49:19.676212,payment,Mumbai,desktop,False
TXN-116B62864914,ACC-741D1797B788,ACC-1EF4E08CA991,2200.74,JPY,2025-03-18T07:25:29.194230,transfer,Seoul,tablet,False
TXN-99D5C629EDF6,ACC-444F9D54F013,ACC-299FAC840C4F,2687.98,EUR,2025-03-19T07:22:54.892449,payment,London,desktop,False
TXN-8302BCCDF4F0,ACC-09CFB1447D18,ACC-A42FE6BCB29E,2988.23,CAD,2025-03-19T20:22:51.801300,payment,Paris,tablet,False
TXN-0279D54360D1,ACC-FE3B2EFC8532,ACC-24E18596688E,2877.25,CAD,2025-03-19T22:12:15.905379,deposit,Singapore,desktop,False
TXN-1B61B89595E8,ACC-05BF1678A31D,ACC-00EDA1D57626,2942.65,CAD,2025-03-20T15:42:30.347868,refund,Hong Kong,tablet,False
TXN-8D9ECA7B6CE1,ACC-99D6DD55CDA6,ACC-299FAC840C4F,3995.41,INR,2025-03-21T15:50:22.619526,transfer,Hong Kong,tablet,False
TXN-70DEA5C99635,ACC-F390CDEC98A9,ACC-07E5FBD728ED,3819.96,USD,2025-03-21T22:31:47.457218,withdrawal,Singapore,tablet,False
TXN-8A37941014A8,ACC-5B3C2AEF2119,ACC-F1FB93BBDE6A,3948.93,AUD,2025-03-25T22:42:11.834700,payment,Singapore,desktop,False
TXN-8F537A58037E,ACC-D928661B4199,ACC-4026A211A553,3639.72,CAD,2025-03-25T23:24:40.493711,withdrawal,Seoul,desktop,False
TXN-0C97848CF7F2,ACC-1A295F9A4D2A,ACC-6C5C0C457317,3714.78,AUD,2025-03-27T12:02:01.958833,refund,Paris,desktop,False
TXN-5770E4B9AA45,ACC-B94BBBC4D3C9,ACC-A42FE6BCB29E,2335.46,JPY,2025-03-27T18:33:58.399542,payment,Tokyo,desktop,False
TXN-1FB951649299,ACC-E9B13827F65F,ACC-50929B0F1B3A,3297.93,AUD,2025-03-28T23:57:17.938656,deposit,Toronto,desktop,False
TXN-F68E7EB0929D,ACC-09CFB1447D18,ACC-F390CDEC98A9,3854.61,GBP,2025-03-31T14:15:28.864234,payment,San Francisco,tablet,False
TXN-3CD2ABCAB801,ACC-48FAA251374A,ACC-A79A096B68AF,4230.45,EUR,2025-04-01T13:36:42.058440,transfer,Paris,tablet,False
