transaction_id,sender_account,receiver_account,amount,currency,timestamp,transaction_type,location,device_type,is_fraud
TXN-879363D35B62,ACC-B8268DD371BC,ACC-B79B2B7E8405,3317.17,GBP,2025-03-15T17:07:16.348697,refund,Singapore,tablet,False
TXN-FACE263CBD2E,ACC-CDB21213B73A,ACC-423A3FEF9679,2808.26,CAD,2025-03-18T09:34:08.580617,payment,Mumbai,desktop,False
TXN-B35B4F97076E,ACC-90055E753444,ACC-3D32CDA618EC,2768.86,GBP,2025-03-18T12:31:00.234231,refund,Hong Kong,desktop,False
TXN-B091FD8460B3,ACC-F1500988A233,ACC-214B02932C02,4153.28,GBP,2025-03-20T18:46:06.909113,withdrawal,Paris,desktop,False
TXN-392A5171EE9F,ACC-CDC541C2B68C,ACC-7448DACA19C7,4439.31,EUR,2025-03-23T02:33:14.042480,transfer,Dubai,desktop,False
TXN-80EA481C6C19,ACC-4DD550362524,ACC-423A3FEF9679,3595.21,CAD,2025-03-25T16:34:55.673505,transfer,Hong Kong,desktop,False
TXN-F02B1A4E80B2,ACC-61CAB2BD1FB0,ACC-9A0E272EFED9,3709.23,USD,2025-03-26T04:43:53.949526,deposit,Chicago,tablet,False
TXN-00C5D3502828,ACC-5C603596C996,ACC-F2F6C74B9A36,5015.24,AUD,2025-03-27T13:50:38.695843,payment,Singapore,desktop,False
TXN-76040001D765,ACC-A94C09B9891A,ACC-45D1FDBE793C,3661.22,JPY,2025-03-28T00:51:37.834864,withdrawal,Paris,tablet,False
TXN-D2FD3ADDCA72,ACC-45D1FDBE793C,ACC-77DB23A473A8,2899.94,AUD,2025-03-29T05:43:38.475216,refund,São Paulo,tablet,False
TXN-CE503FF457FD,ACC-1C92A95C9E38,ACC-B43057B75377,3633.98,AUD,2025-03-29T13:59:24.513344,payment,Toronto,desktop,False
TXN-F16FBB07596E,ACC-612EB6F00DBB,ACC-84C3118324FA,3587.92,AUD,2025-04-01T07:40:02.695387,deposit,New York,desktop,False
TXN-AC277883E6FC,ACC-BA5FF7A664FD,ACC-84C3118324FA,4160.63,GBP,2025-04-01T08:29:58.346440,transfer,Tokyo,desktop,False
TXN-9A93865D5408,ACC-214E1E5092A7,ACC-214B02932C02,4312.72,AUD,2025-04-04T07:34:38.440924,payment,Berlin,desktop,False
TXN-CCABA31BAD13,ACC-390C4AA60566,ACC-423A3FEF9679,3831.63,CAD,2025-04-05T12:05:21.992933,transfer,Singapore,desktop,False
TXN-8C14E0CD646C,ACC-423A3FEF9679,ACC-D05BB0B62B76,4219.67,INR,2025-04-07T02:03:23.617199,refund,New York,desktop,False
TXN-64C2A58740C9,ACC-45D1FDBE793C,ACC-F1500988A233,4211.99,JPY,2025-04-07T07:00:51.425340,withdrawal,Seoul,desktop,False
TXN-BFC9AF97A7BC,ACC-B8268DD371BC,ACC-89C533BDB795,3998.71,EUR,2025-04-08T15:51:45.806484,withdrawal,London,desktop,False
TXN-3A37CEA27BE4,ACC-F1500988A233,ACC-88A66980A6DF,3152.28,EUR,2025-04-09T01:51:56.789543,refund,Singapore,tablet,False
TXN-A802FD2C6EF9,ACC-2C8A5218A63E,ACC-7D6116D068CB,4106.38,CAD,2025-04-10T14:09:14.376094,deposit,Mumbai,desktop,False
TXN-DDCC299E08E7,ACC-A94C09B9891A,ACC-4DD550362524,4948.21,CAD,2025-04-12T02:30:41.631817,deposit,New York,tablet,False
TXN-D26B2723B605,ACC-26F01E5F7D48,ACC-E4DC24721075,3583.88,AUD,2025-04-14T01:29:24.654994,deposit,Singapore,tablet,False
TXN-565B1678ECC9,ACC-0E70B0609FAA,ACC-D0941CA7CFFB,3618.02,CAD,2025-04-20T14:45:19.443905,withdrawal,Sydney,desktop,False
TXN-2B4D8624FD32,ACC-77DB23A473A8,ACC-7D6116D068CB,3123.14,GBP,2025-04-22T06:56:24.480687,purchase,Tokyo,desktop,False
TXN-C7879F262F1A,ACC-1DB7711D424F,ACC-7868B1BD35E2,4572.94,INR,2025-04-22T15:57:45.246717,withdrawal,Hong Kong,tablet,False
TXN-4CD69687D484,ACC-A33BACA175A3,ACC-7448DACA19C7,4728.63,JPY,2025-04-23T01:00:19.143562,deposit,Mumbai,tablet,False
TXN-5166B2358FE9,ACC-61CAB2BD1FB0,ACC-9FEBDB857D4F,4219.02,JPY,2025-04-24T12:24:22.269396,purchase,Toronto,tablet,False
TXN-FD6470ABFE12,ACC-B79B2B7E8405,ACC-0E70B0609FAA,3659.31,USD,2025-04-24T17:45:14.517394,purchase,Seoul,desktop,False
TXN-E3E4AD4EF413,ACC-443807191EEF,ACC-35AD44061ADF,4738.26,AUD,2025-04-25T00:35:34.951847,withdrawal,Toronto,desktop,False
TXN-4720E5BA3EF0,ACC-46A6F598D3B5,ACC-76819DB58B4E,3100.36,JPY,2025-04-27T08:51:53.218499,transfer,Toronto,tablet,False
TXN-2CDBCA38BA08,ACC-0190646D07F8,ACC-45D1FDBE793C,3949.84,EUR,2025-04-27T20:07:16.465364,deposit,San Francisco,tablet,False
TXN-5BCE6125A380,ACC-49001137A1F1,ACC-F1500988A233,3442.93,AUD,2025-04-30T22:32:59.445027,purchase,Berlin,desktop,False
