transaction_id,sender_account,receiver_account,amount,currency,timestamp,transaction_type,location,device_type,is_fraud
TXN-76CF15A0A63C,ACC-E9E2D70401FA,ACC-CE9D5C7C825E,1687.61,INR,2025-03-09T11:56:07.214087,payment,Seoul,desktop,False
TXN-0E7168CF07BC,ACC-14E62AB98A1D,ACC-C62232881279,2237.66,AUD,2025-03-10T04:43:45.973703,withdrawal,Berlin,desktop,False
TXN-3AAA08F0952C,ACC-ADDD6D5AEA16,ACC-35A4C7E0B499,2902.0,CAD,2025-03-10T05:30:00.126959,withdrawal,New York,desktop,False
TXN-022A4C4C9C18,ACC-6BC418C5AD94,ACC-8E6042947895,2704.51,GBP,2025-03-10T08:07:30.038728,payment,San Francisco,desktop,False
TXN-2FC1F83C1897,ACC-14E62AB98A1D,ACC-B11D1BB146D3,2456.83,EUR,2025-03-12T22:23:11.211896,purchase,Seoul,desktop,False
TXN-CDFED33E19AE,ACC-E9E2D70401FA,ACC-FE1481360E0D,2671.99,JPY,2025-03-14T12:27:14.712814,deposit,Paris,desktop,False
TXN-7FE2E038B246,ACC-BF654D50908A,ACC-B1138E14EF17,2469.22,GBP,2025-03-15T00:51:57.115759,refund,London,tablet,False
TXN-1B630F4DC9CA,ACC-DEE97A3F640B,ACC-14E62AB98A1D,2222.51,EUR,2025-03-15T11:12:31.609162,deposit,San Francisco,desktop,False
TXN-B31CC7280768,ACC-9F30F5A34166,ACC-0BC91041F287,2176.87,EUR,2025-03-15T15:28:18.818824,refund,Dubai,tablet,False
TXN-4EDB1FC4D3D2,ACC-8E6042947895,ACC-2FA875B71401,2449.35,EUR,2025-03-16T09:45:38.510140,purchase,Berlin,desktop,False
TXN-E3F0C3F53497,ACC-3BAC085A564A,ACC-22162FC23177,2335.09,CAD,2025-03-18T00:46:15.018217,purchase,New York,tablet,False
TXN-6500D99E54C1,ACC-C59C695FD092,ACC-0696B85144C6,2422.02,AUD,2025-03-23T13:18:29.820181,deposit,Berlin,desktop,False
TXN-88469142BA3B,ACC-0ED69F9DC42E,ACC-5924FBB2CE35,2216.29,INR,2025-03-24T05:46:28.913393,purchase,Toronto,desktop,False
TXN-6D75A89A0206,ACC-209E24FD6D11,ACC-C62232881279,2566.68,USD,2025-03-25T21:49:50.501314,transfer,Tokyo,desktop,False
TXN-AA7BA389E6BC,ACC-BF654D50908A,ACC-FC8006237A64,3183.7,INR,2025-03-26T08:19:23.835700,refund,Singapore,tablet,False
TXN-524D3D3F7007,ACC-B45BBD14BCEF,ACC-8AF771E221E4,2436.21,JPY,2025-03-26T23:10:16.556400,refund,Chicago,desktop,False
TXN-94691ED62C23,ACC-ADDD6D5AEA16,ACC-0696B85144C6,1747.27,GBP,2025-03-27T06:25:40.747356,transfer,Hong Kong,desktop,False
TXN-F0A3973646D3,ACC-7F8A258F2EBF,ACC-54D9D38C6932,2097.33,USD,2025-03-29T16:28:43.809545,deposit,London,tablet,False
TXN-67BBB43B379A,ACC-37AB300A3A70,ACC-9F30F5A34166,2900.19,INR,2025-03-30T17:14:04.117482,payment,Chicago,desktop,False
TXN-2E9CE6C46205,ACC-FDA370919C32,ACC-94FE660ADD36,1933.87,CAD,2025-04-02T16:45:30.315090,refund,Dubai,desktop,False
TXN-FE4A262A44D0,ACC-B42C9DBC463C,ACC-FB6223BE67C5,1958.99,CAD,2025-04-04T14:22:02.749121,transfer,Mumbai,desktop,False
TXN-1AFA44B1C04A,ACC-54AC283ACE6B,ACC-FC8006237A64,2591.26,USD,2025-04-06T15:16:52.946863,deposit,London,desktop,False
TXN-9AA7DC476B53,ACC-8E6042947895,ACC-2FA875B71401,2061.03,INR,2025-04-07T17:43:52.254786,refund,Tokyo,tablet,False
TXN-AC9BEB454E5B,ACC-2FA875B71401,ACC-FE89392B9352,1755.94,JPY,2025-04-08T12:09:32.697897,deposit,Toronto,tablet,False
TXN-9386F48070B3,ACC-0696B85144C6,ACC-A03DD06745AC,2085.81,JPY,2025-04-08T21:26:12.568083,transfer,Chicago,tablet,False
