transaction_id,sender_account,receiver_account,amount,currency,timestamp,transaction_type,location,device_type,is_fraud
TXN-62DCF5408372,ACC-68388B2BFBB7,ACC-73338483195C,2154.77,EUR,2025-03-10T02:17:38.000272,withdrawal,Hong Kong,tablet,False
TXN-8E4622448E5C,ACC-D8D4B325BA65,ACC-82A00B8895F7,2485.67,INR,2025-03-11T04:39:50.495285,deposit,Seoul,tablet,False
TXN-C5DE0C1B2D11,ACC-9569D0D6B0A9,ACC-295D54B6E2F6,2665.47,INR,2025-03-11T22:03:44.568170,payment,Dubai,desktop,False
TXN-32465E399DBA,ACC-65B7A1D7D54C,ACC-7DE8470BFFF6,2313.48,CAD,2025-03-12T06:54:30.923310,deposit,Singapore,tablet,False
TXN-D2BB48FE6457,ACC-5A345063FF84,ACC-A7300C11CB03,3105.88,USD,2025-03-12T15:56:06.680743,purchase,Hong Kong,tablet,False
TXN-E51F70B39661,ACC-B1D6D98EA657,ACC-E9B284A64F1D,2394.75,USD,2025-03-13T07:49:17.356553,refund,Hong Kong,tablet,False
TXN-16DEC22216F1,ACC-C012AB9FC96A,ACC-B14C99796F1B,2683.15,EUR,2025-03-13T13:24:08.245626,deposit,Seoul,tablet,False
TXN-27FD2312E455,ACC-39BB58F9B5A5,ACC-0A7B3213D452,2673.09,EUR,2025-03-13T15:31:44.932955,purchase,Tokyo,desktop,False
TXN-607E1D615AFE,ACC-598F42B0A663,ACC-5BAE6F54A299,3273.23,CAD,2025-03-15T20:01:26.576783,withdrawal,Seoul,tablet,False
TXN-2189B229F07F,ACC-A46CF3C33574,ACC-157366500E6E,2112.17,INR,2025-03-16T17:38:39.147971,purchase,Hong Kong,tablet,False
TXN-31E299AFCED7,ACC-F4A1C77F9145,ACC-187D2C839C3E,3309.91,GBP,2025-03-16T18:30:10.617115,withdrawal,Toronto,desktop,False
TXN-CBE0343F5CAE,ACC-9F63507BBA39,ACC-42511A54BC33,2178.99,USD,2025-03-17T17:57:36.232341,payment,Chicago,tablet,False
TXN-7ECCE21E492F,ACC-137498F057B4,ACC-1C5C7E87DADF,2391.54,INR,2025-03-19T16:11:52.730528,payment,Chicago,tablet,False
TXN-BE1EFD4FF32A,ACC-1460F4A366EF,ACC-C7F037F1B7F7,2395.13,INR,2025-03-20T20:40:31.637501,purchase,Berlin,tablet,False
TXN-B4A0B193CDD0,ACC-E9D1445E7EB0,ACC-DAC3D7D2CE30,2896.03,GBP,2025-03-21T03:21:53.835805,deposit,Mumbai,tablet,False
TXN-C78E424EB3EC,ACC-B1D6D98EA657,ACC-58D449DA1FB9,2389.13,JPY,2025-03-21T20:47:08.750708,deposit,São Paulo,tablet,False
TXN-C1FE7AF1911F,ACC-B6BEDFAE7BF1,ACC-F4A1C77F9145,2333.49,INR,2025-03-22T05:27:17.160336,deposit,Berlin,tablet,False
TXN-4BA9F2645440,ACC-08AE64550B97,ACC-57E7B8B3F24B,2885.54,EUR,2025-03-22T23:04:34.557961,deposit,Berlin,tablet,False
TXN-5CC54C3CFC44,ACC-76BEEED0F7BA,ACC-7DE8470BFFF6,2751.52,EUR,2025-03-23T05:49:43.692029,deposit,Paris,tablet,False
TXN-C29AFC599B98,ACC-7D6C9E73388F,ACC-157366500E6E,2685.02,INR,2025-03-23T19:10:45.036024,transfer,Singapore,tablet,False
TXN-651EB4B0FF93,ACC-3B678A0B56BD,ACC-F7D04267502F,2784.33,AUD,2025-03-24T01:21:17.340610,payment,Singapore,tablet,False
TXN-D239182CD5E6,ACC-5AAE64595A74,ACC-1460F4A366EF,2559.7,AUD,2025-03-24T13:45:21.066517,withdrawal,Hong Kong,tablet,False
