transaction_id,sender_account,receiver_account,amount,currency,timestamp,transaction_type,location,device_type,is_fraud
TXN-DE1ACDA21D89,ACC-6739DF6F20A1,ACC-54CA5111C528,4283.07,CAD,2025-03-07T11:30:33.507415,payment,Berlin,desktop,False
TXN-3ED75B05A402,ACC-2C3E76264BF1,ACC-7C6220A49BE4,2521.27,JPY,2025-03-09T21:25:47.508012,transfer,New York,desktop,False
TXN-1C65C6C90D87,ACC-C280208F659D,ACC-F5F82742434D,3009.35,USD,2025-03-10T00:40:37.822151,purchase,Sydney,tablet,False
TXN-2E96272776DC,ACC-8AAAAD99F6EC,ACC-028890DEFB7F,2442.32,GBP,2025-03-11T06:22:01.576631,refund,New York,desktop,False
TXN-147CF6B65540,ACC-C382818734D7,ACC-25423E12A62B,2122.31,EUR,2025-03-11T08:30:06.226932,transfer,Hong Kong,desktop,False
TXN-F38BDAA08CCA,ACC-10B36D5272AD,ACC-A45C5B687993,2450.88,CAD,2025-03-11T11:07:33.032594,withdrawal,Seoul,desktop,False
TXN-A06E0996AD9C,ACC-92D6B223EED8,ACC-B7A0295D3648,1905.68,CAD,2025-03-11T15:27:19.946329,withdrawal,London,tablet,False
TXN-303DCCBC0149,ACC-C9634E0622BC,ACC-30E2B3B5B20D,3250.24,JPY,2025-03-12T10:49:28.332909,transfer,Tokyo,desktop,False
TXN-0FAB3890C9FE,ACC-8FA29EDB4632,ACC-EB43D6B62E3C,3550.42,JPY,2025-03-12T17:07:16.940115,deposit,Berlin,desktop,False
TXN-79C0BE5C48ED,ACC-0C0E560323C3,ACC-8AAAAD99F6EC,2606.27,EUR,2025-03-12T21:48:23.997987,purchase,Sydney,tablet,False
TXN-527FAA42FAEA,ACC-7B3F178B584E,ACC-63A858CD5308,2565.91,CAD,2025-03-13T13:35:03.755594,deposit,Singapore,desktop,False
TXN-EA67A8AD4450,ACC-749B9EE3EE85,ACC-044BA6492FE6,2258.53,INR,2025-03-13T20:13:17.076480,purchase,Chicago,desktop,False
TXN-3975B5B6D367,ACC-2B9B947A6245,ACC-EB43D6B62E3C,3393.78,AUD,2025-03-14T11:11:34.864495,deposit,Berlin,tablet,False
TXN-E8F88F81EAED,ACC-99480A96EB04,ACC-18E2F85DDDE7,2487.87,JPY,2025-03-14T11:41:28.234547,refund,London,desktop,False
TXN-9BFF2875B168,ACC-56097E22AB4C,ACC-F4B744DE38F5,2353.88,GBP,2025-03-15T20:27:26.126662,deposit,New York,tablet,False
TXN-364357480A13,ACC-30E2B3B5B20D,ACC-0323DDF72C9E,1964.06,USD,2025-03-16T09:09:56.071798,deposit,Dubai,desktop,False
TXN-A50DBFF386FA,ACC-2CC461295B06,ACC-BF8327351C56,3390.11,CAD,2025-03-16T22:38:54.773780,purchase,Sydney,desktop,False
TXN-1114F316BF15,ACC-044BA6492FE6,ACC-2C07A5153645,3477.61,GBP,2025-03-17T09:15:07.964056,transfer,New York,desktop,False
TXN-B7AEBA0636B0,ACC-2CB1E810B369,ACC-7C6220A49BE4,2505.23,CAD,2025-03-18T20:32:26.624652,payment,Dubai,desktop,False
TXN-16A26AE5AA4B,ACC-211291B92841,ACC-C65FCAF91DDE,3115.4,AUD,2025-03-19T03:53:27.931503,withdrawal,New York,desktop,False
TXN-C13F4DC39464,ACC-87890B02B19C,ACC-77DE36197786,2873.99,JPY,2025-03-20T02:35:18.294421,refund,Tokyo,desktop,False
TXN-1F3DCA452CE5,ACC-F4B744DE38F5,ACC-F9FEBE4BB8CC,2121.2,AUD,2025-03-20T08:19:29.702737,deposit,Sydney,tablet,False
TXN-9CE6022DF524,ACC-EB43D6B62E3C,ACC-87890B02B19C,2297.9,GBP,2025-03-20T08:23:00.801267,purchase,London,tablet,False
TXN-229D561F8D21,ACC-71270102997F,ACC-D235A311AE06,2409.22,CAD,2025-03-22T04:41:45.188496,deposit,Berlin,desktop,False
TXN-7C40EA3F3200,ACC-6ABF1CEDC316,ACC-B3978CDB1CF0,2692.24,CAD,2025-03-22T20:28:33.379075,deposit,New York,desktop,False
TXN-AA1FCDF12F4A,ACC-401936BC86C0,ACC-7D89F70CBFEA,2901.21,AUD,2025-03-22T20:56:26.364579,withdrawal,Paris,tablet,False
TXN-9228A5D9A541,ACC-92D6B223EED8,ACC-2B9B947A6245,2028.15,EUR,2025-03-23T07:20:37.042100,payment,Seoul,desktop,False
TXN-6A2E9E7E65F1,ACC-30E2B3B5B20D,ACC-6ABF1CEDC316,1903.16,EUR,2025-03-23T09:18:52.981887,withdrawal,Singapore,desktop,False
TXN-B141D5F943F5,ACC-BE8145AE90A7,ACC-CD192C0B3D3D,2662.76,USD,2025-03-23T12:48:42.743824,withdrawal,Dubai,desktop,False
TXN-E293B018AD10,ACC-CFE9B2243FC1,ACC-C273C5D10B71,2651.32,JPY,2025-03-26T14:25:10.273894,transfer,New York,tablet,False
TXN-2002B648B1DD,ACC-63A858CD5308,ACC-5CB5A043444C,2063.6,CAD,2025-03-26T15:30:23.580650,payment,Sydney,tablet,False
TXN-1F398B706F23,ACC-0E6DF83EAA36,ACC-06FC86990D3B,2660.36,INR,2025-03-26T21:03:05.829337,deposit,São Paulo,tablet,False
TXN-48F6E7CD1FC0,ACC-5CB5A043444C,ACC-8AAAAD99F6EC,3654.38,JPY,2025-03-26T22:52:01.920208,withdrawal,Singapore,tablet,False
TXN-55F70B4F9900,ACC-F946F1561761,ACC-2C3E76264BF1,2907.46,AUD,2025-03-27T00:29:17.968446,withdrawal,Toronto,desktop,False
TXN-192DEF60146F,ACC-47D2D3A000BC,ACC-2CC461295B06,3376.33,USD,2025-03-27T03:41:47.632046,withdrawal,Paris,desktop,False
TXN-1AFF1615FBC9,ACC-90A68668804C,ACC-3C210524E787,2448.31,GBP,2025-03-27T16:01:10.635675,purchase,Paris,tablet,False
TXN-B3758A5E9B86,ACC-661A645CACBA,ACC-69026E3B9032,2686.54,EUR,2025-03-29T21:06:47.509783,payment,São Paulo,tablet,False
TXN-BE6DC3813F30,ACC-0323DDF72C9E,ACC-C9634E0622BC,2584.78,JPY,2025-03-30T05:47:02.568975,deposit,Hong Kong,tablet,False
TXN-132660F42135,ACC-7B3F178B584E,ACC-EB43D6B62E3C,2866.08,AUD,2025-03-31T05:17:22.149198,payment,London,desktop,False
TXN-7C248EA004E8,ACC-54CA5111C528,ACC-06FC86990D3B,2139.62,INR,2025-03-31T12:30:06.223600,refund,Singapore,desktop,False
